Nom_Taxonomique;Noms_valides
BATYNECTES PIPE‘«™..;Bathynectes piperitus
BAUCHOTIA MARCELLAE;Prognathodes marcellae
BEBROPS HETERURUS;Bembrops heterurus
BEBROPS HEUTERURUS;Bembrops heterurus
BEMBROPS HETERURUS;Bembrops heterurus
BEMBROPS HEUTERURUS;Bembrops heterurus
BEMBROPS SP;Bembrops sp
BEMBROPS SPP.;Bembrops sp
BEMPBROPS HETERURUS;Bembrops heterurus
BERNARD L'HERMITE;Bernard l'hermite
BERYX SP;Beryx sp
BERYX SPLENDENS;Beryx splendens
BERYX SPLENDER;Beryx splendens
BIVALVE;Bivalve
BIVALVES;Bivalves 
BLENNIDAE;Blenniidae
BLENNIDAE SP.;Blenniidae
BLENNIDAES;Blenniidae
BLENNIIDAE SP;Blenniidae
BLENNIIDAES;Blenniidae
BLENNIUS NOANI;Blennius normani
BLENNIUS NORANI;Blennius normani
BLENNIUS NORMANI;Blennius normani
BLENNIUS OSCELLARIS;Blennius ocellaris
BLENNIUS SP;Blennius sp
BLENNUIS NORMANI;Blennius normani
BLENNUS NORMANI;Blennius normani
BODIANIUS SPECIOSUS;Bodianus speciosus
BODIANUS IAGONENSIS;Bodianus iagonensis
BODIANUS SCROFA;Bodianus scrofa
BODIANUS SP;Bodianus sp
BODIANUS SPECIOSUS;Bodianus speciosus
BOOPS BOOPS;Boops boops
BOOPS BOPPS;Boops boops
BOROSTOMIAS ELUCENS;Borostomias elucens
BOTHIUS PODAS;Bothus podas
BOTHUS GUIBEI;Bothus guibei
BOTHUS PODAS;Bothus podas
BOTHUS PODAS AFRICANA;Bothus podas
BOTHUS PODAS AFRICANUS;Bothus podas
BRACHYDEUTERIUS AURITUS;Brachydeuterus auritus
BRACHYDEUTERUS AURITUS;Brachydeuterus auritus
BRACHYDEUTERUS AURRITUS;Brachydeuterus auritus
BRANCHIOSTEGUS SEIFASCIATUS;Branchiostegus semifasciatus
BRANCHIOSTEGUS SEMIFASCATUS;Branchiostegus semifasciatus
BRANCHIOSTEGUS SEMIFASCIASTUS;Branchiostegus semifasciatus
BRANCHIOSTEGUS SEMIFASCIATUS;Branchiostegus semifasciatus
BRANCHIOSTEGUS SEMIFASCITUS;Branchiostegus semifasciatus
BREGMACEROS MCCLELLANDI;Bregmaceros mcclellandi
BROMISCULUS IMBERBIS;Bromisculus imberbis
BROSMICULUS IMBERBIS;Bromisculus imberbis
BROTULA BARBATA;Brotula barbata
BROTULIDAE;Brotulidae
BUFOCERATIAS WEDLI;Bufoceratias wedli
CAELORINCHUS CAELORHINCUS CAELORHINCUS;Caelorinchus caelorhincus
CAELORINCHUS FASCIATUS;Caelorinchus fasciatus
CALAPPA;Calappa calappa
CALAPPA  CALAPPA;Calappa calappa
CALAPPA  RUBROGUTTATA;Calappa rubroguttata
CALAPPA (SP);Calappa sp
CALAPPA GRANULATA;Calappa granulata
CALAPPA PELII;Calappa pelii
CALAPPA PELLI;Calappa pelii
CALAPPA RUBROGUTTATA;Calappa rubroguttata
CALAPPA RUBRUGUTTATA;Calappa rubroguttata
CALAPPA SP;Calappa sp
CALAPPA SP.;Calappa sp
