Nom_Taxonomique;Noms_valides
EPINEPHELUS AENEUS;Epinephelus aeneus
EPINEPHELUS AENUS;Epinephelus aeneus
EPINEPHELUS ALEXANDRINUS;Epinephelus alexandrinus
EPINEPHELUS CANINUS;Epinephelus caninus
EPINEPHELUS COSTAE;Epinephelus costae
EPINEPHELUS FASCIATUS;Epinephelus fasciatus
EPINEPHELUS GOREENSIS;Epinephelus goreensis
EPINEPHELUS GUAZA;Epinephelus guaza
EPINEPHELUS MARGINATUS;Epinephelus marginatus
EPINEPHELUS SP;Epinephelus sp
EPINEPHELUS SPP.;Epinephelus sp
EPONGE;Eponge
EPONGES;Eponges
ERLUCCIUS SENEGALENSIS;merluccius senegalensis
ERLUCCIUS SP;merluccius sp
ERLUCIUS SP;Merluccius sp
ERYTHROCLES MONODI;Erythrocles monodi
ETHMALOSA FIMBRIATA;Ethmalosa fimbriata
ETMOPTERUS PUSILLUS;Etmopterus pusillus
ETMOPTERUS PUSSILLUS;Etmopterus pusillus
ETOILE DE MER;Etoiles mer
ETOILES DE MER;Etoiles mer
EUCIDARIS TRIBULOIDES;Eucidaris tribuloides
EUCINOPTOMUS MELANOPTERUS;Eucinostomus melanopterus
EUCINOSTEMUS MELANOPTERUS;Eucinostomus melanopterus
EUCINOSTOMUS MELANOPOTERUS;Eucinostomus melanopterus
EUCINOSTOMUS MELANOPTERUS;Eucinostomus melanopterus
EUCYNOSTOMUS MELANOPTERUS;Eucinostomus melanopterus
EUTHYNNUS ALLETERATUS;Euthynnus alleteratus
EUTHYNNUS ALLETTERATUS;Euthynnus alleteratus
FISTULARIA PETIMBA;Fistularia petimba
FISTULARIA SP;Fistularia sp
FISTULARIA SPP.;Fistularia sp
FISTULARIA TABACARIA;Fistularia tabacaria
FISTULARIA TABACCARIA;Fistularia tabacaria
FISTULARIIDAE DIVERS;Fistulariidae divers
GADELLA IMBERBIS;Gadella imberbis
GADIDAE;Gadidae
GAIDROPSARUS MEDITERRANEUS;Gaidropsarus mediterraneus
GALATH?ÎE;Galaths Îe
GALATH?ÎES;Galaths Îes
GALATHEE;Galathees galathee
GALATHEES DIVERSES;Galathees diverses
GALATHES;Galathes 
GALEOCERDO CUVIER;Galeocerdo cuvier
GALEOIDES DECADACTYLUS;Galeoides decadactylus
GALEOIDES DECADACTYLUS (JUVENILES);Galeoides decadactylus
GALEORHINUS GALEUS;Galeorhinus galeus
GALEUS GALEORHINUS;Galeus galeorhinus
GALEUS GALEORHYNUS;Galeus galeorhinus
GALEUS MELASTOMUS;Galeus melastomus
GALEUS POLLI;Galeus polli
GALEUS SP;Galeus sp
GAST?ÎROPODES;Gasteropodes
GASTEROPDES;Gasteropodes
GASTEROPODE;Gasteropode
GASTEROPODES;Gasteropodes
GASTEROPODES + DIVERS;Gasteropodes divers
GEMPYLUS SERPENS;Gempylus serpens
GEPHYROBERYX DARWINI;Gephyroberyx darwini
GEPHYROBERYX DARWINII;Gephyroberyx darwinii
GERION MARITAE;Geryon maritae
GERRES SPP.;Gerres sp
GERYON M;Geryon maritae
GERYON MARITAE;Geryon maritae
GINGLYMOSTOMA CIRRATUM;Ginglymostoma cirratum
GLYPHIUS MARSUPIALIS;Glyphus marsupialis
GLYPHUS MARSPIALIS;Glyphus marsupialis
GLYPHUS MARSUPIALIS;Glyphus marsupialis
GOBBIUS SP;Gobbius sp
GOBIDAE;Gobiidae
GOBIESOCIDAE;Gobiesocidae
GOBIIDAE;Gobiidae
GOBIIDAE SP.;Gobiidae sp
GOBIOIDES  AFRICANUS;Gobioides africanus
GOBIOIDES AFRICANUS;Gobioides africanus
GOBIUS ANGOLENSIS;Gobius angolensis
GOBIUS NIGER;Gobius niger
GOBIUS SENEGALENSIS;Gobius senegalensis
GOBIUS SP;Gobius sp
GONEPLAX ANGULATA;Goneplax angulata
GONOSTOMATIDAE;Gonostomatidae
GRAMMOPLITES GRUVELI;Solitas gruveli
GRAMMOPLITES GRUVELLI;Solitas gruveli
GRAOPLITES  GRUVELI;Solitas gruveli
GRAOPLITES GRUVELI;Solitas gruveli
GUENTHERUS ALTIVELA;Guentherus altivela
GYMNOTHORAX SP;Gymnothorax sp
GYMNOTHORAX VICINUS;Gymnothorax vicinus
GYMNURA ALTAVELA;Gymnura altavela
GYMNURA MICRURA;Gymnura micrura
GYMNURA POECILURA;Gymnura poecilura
GYMNURA SPP.;Gymnura sp
HALOBATRACHUS DIDACTYLUS;Halobatrachus didactylus
HALOSAURUS JOHNSONIANUS;Halosaurus johnsonianus
HALOSAURUS OVENI;Halosaurus oveni
HALOSAURUS OVENII;Halosaurus ovenii
HALOSORUS OWENI;Halosaurus ovenii
HEICARANX BICOLOR;Hemicaranx bicolor
HEICARANX BICOLOR JUVENILES);Hemicaranx bicolor
HELICOLENUS DACTYLOPTERUS;Helicolenus dactylopterus
HELICOLENUS DACTYLOPTERUS DACTYLOPTERUS;Helicolenus dactylopterus
HELICOLONUS DACTYLOPTERUS;Helicolonus dactylopterus
HEMANTOLOPHUS GROENLANDICUS;Hemantolophus groenlandicus
HEMICARANX BICOLOR;Hemicaranx bicolor
HEMIRHAMPHUS BRASILIENSIS;Hemiramphus brasiliensis
HEPTRANCHIAS PERLO;Heptranchias perlo
HERBE;Herbes 
HERBES;Herbes 
HETEROCARPUS ENCIFER;Heterocarpus ensifer
HETEROCARPUS ENSIFER;Heterocarpus ensifer
HETEROCARPUS GRIMALDI;Heterocarpus grimaldi
HETEROCARPUS LUCIFER;Heterocarpus lucifer
HETEROCARPUS SP;Heterocarpus sp
HETEROCUPUS LAEVIGATUS;Heterocupus laevigatus
HETEROPRIACANTHUS CRUENTATUS;Heteropriacanthus cruentatus
HIMANTOLOPHUS GROENLANDICUS;Himantolophus groenlandicus
HIMANTOLOPHUS SP.;Himantolophus sp
HIPPOCAMPE;Hippocampe
HIPPOCAMPUS ERECTUS;Hippocampus erectus
HISTRIO HISTRIO;Histrio histrio
HOLACANTHUS AFRICANUS;Holacanthus africanus
HOLCOMYCTERONUS PROFUNDISSIMUS;Holcomycteronus profundissimus
HOLLOTURIES;Holloturie
HOLOCENTRIDAE DIVERS;Holocentridae divers
HOLOCENTRUS HASTATUS;Holocentrus hastatus
HOLOCENTRUS SP;Holocentrus sp
HOLOCENTRUS SPP.;Holocentrus sp
HOLOSAURUS;Holosaurus  sp
HOLOTHURIA SP.;Holothuria sp
HOLOTHURIE;Holothurie
HOLOTHURIE DIVERSE;Holothurie diverse
HOLOTHURIES;Holothuries holothuries
HOLOTURIE;Holoturie
HOLOTURIES;Holoturies
HOMARD;Homard
HOMOLIDAE;Homolidae
HOPLESTEHUS MEDITERRANEUS;Hoplesthetus mediterraneus
HOPLESTHETUS CADENATI;Hoplesthetus cadenati
HOPLESTHETUS MEDITERRANUS;Hoplesthetus mediterraneus
HOPLOSTETHUS ATLANTICUS;Hoplostethus atlanticus
HOPLOSTETHUS CADENATI;Hoplostethus cadenati
HOPLOSTETHUS MEDITERRANEUS;Hoplostethus mediterraneus
HOPLOSTETHUS MEDITERRANEUS MEDITERRANEUS;Hoplostethus mediterraneus
HOPLOSTETHUS PETROSUS;Hoplostethus petrosus
HOPLOSTETHUS SPP.;Hoplostethus sp
HOPLOSTHETHUS CADENATI;Hoplostethus cadenati
HOPLOSTHETUS CADENATI;Hoplostethus cadenati
HOPLOSTHETUS MEDITERRANEUS;Hoplostethus mediterraneus
HOPLOSTHETUS MEDITERRANUS;Hoplostethus mediterraneus
HOPLOSTHUS CADENATI;Hoplostethus cadenati
HU?ƒTRES;Huitres
HYMENOCEPHALUS ITALICUS;Hymenocephalus italicus
HYMNIS GOREENSIS;Hymnis goreensis
HYPEROGLYPHE MOSELII;Hyperoglyphe moseli
HYPEROGLYPHE PRINGLEI;Hyperoglyphe pringlei
HYPOCAMPUS SP;Hypocampus sp
HYPOCLIDONIA BELLA;Hypoclidonia bella
HYPOCLYDONIA BELLA;Hypoclidonia bella
HYPPOCAMPE;Hyppocampe
ICHROCHIRUS WITTEI;MIcrochirus wittei
ICROCHIRUS  WITTEI;Microchirus wittei
ICROCHIRUS FRECHKOPI;Microchirus frechkopi
ICROCHIRUS HISPIDUS;Microchirus hispidus
ICROCHIRUS VARIEGATUS;Microchirus variegatus
IJIMAIA LOPPEI;Ijimaia loppei
ILISHA AFRICANA;Ilisha africana
ILLEX COINDETII;Illex coindetii
ILLEX COINDETTI;Illex coindetii
ILLEX COINDETTII;Illex coindetii
ILLEX ILLECEBROSUS;Illex illecebrosus
ILLISHA AFRICANA;Illisha africana
ILLLEX COINDETTII;Illlex coindetii
INDETERMIN?Î;IndeterminÈs
ISURUS OXYRHYNCHUS;Isurus oxyrhynchus
KYPHOSUS SECTATRIX;Kyphosus sectatrix
LAEMONEMA LAUREYSI;Laemonema laureysi
LAEMONEMA YARRELLII;Laemonema yarrellii
LAGOCEPHALUS  SPP.;Lagocephalus sp
LAGOCEPHALUS LAEVIGATUS;Lagocephalus laevigatus
LAGOCEPHALUS LAGOCEPHALUS;Lagocephalus lagocephalus
LAGOCEPHALUS LOEVIGATUS;Lagocephalus laevigatus
LAGOCEPHALUS SP;Lagocephalus sp
LAGOCEPHALUS SPADICEUS;Lagocephalus spadiceus
LAMPOGRAMMA EXUTUS;Lampogramma exutus
LAMPOGRAMMUS EXUTUS;Lampogramma exutus
LAMPROGRAMMUS EXUTUS;Lampogramma exutus
LANGOUSTES;Langoustes
LANGOUSTES DIVERSES;Langoustes diverses
LANGOUSTINE;Langoustine
LEPIDOCHELYS OLIVACEA;Lepidochelys olivacea
LEPIDOPUS CAUDATUS;Lepidopus caudatus
LEPIDOTRIGLA CADMANI;Lepidotrigla cadmani
LEPIDOTRIGLA CAROLAE;Lepidotrigla carolae
LEPIDOTRIGLA LOEVISPINNIS;Lepidotrigla loevispinnis
LEPIDOTRIGLA SP;Lepidotrigla sp
LEPIDOTRIGLA SPP.;Lepidotrigla sp
LEPTOCHARIAS SMITHII;Leptocharia smithii
LEPTODERMA MACROPS;Leptoderma macrops
LESTIDIOPS SPHAEROIDES;Lestidiop sphaeroides
LESTIDIOPS SPHYREOIDES;Lestidiop sphyreoides
LESUEURIGOBIUS KOUMANSI;Lesueurigobius koumansi
LETHRINUS ATLANTICUS;Lethrinus atlanticus
LICHIA AMIA;Lichia amia
LICHIA GLAUCA ET VADIGO;Lichia vadigo
LICHIA SP;Lichia sp
LIOCARCINUS CORRIEGATUS;Liocarcinus corrugatus
LIOCARCINUS CORRUGATUS;Liocarcinus corrugatus
LIOCARCINUS PUBER;Liocarcinus puber
LIOCARCINUS SP;Liocarcinus sp
LIOCARCINUS VARIEGATUS;Liocarcinus variegatus
LITHOGNATHUS MORMYRUS;Lithognathus mormyrus
LITHOGNATHUS SP;Lithognathus sp
LITHOGNATHUS SPP.;Lithognathus sp
LITHOGNATUS MORMYRUS;Lithognatus mormyrus
LITHOGNATUS ORYRUS;Lithognatus mormyrus
LITOGNATHUS MORMURUS;Litognathus mormyrus
LITOGNATHUS MORMYRUS;Litognathus mormyrus
LIZA FALCIPINNIS;Liza falcipinnis
LIZA GRANDISQUAMIS;Liza grandisquamis
LIZA RAADA;Liza ramada
LIZA RAMADA;Liza ramada
LIZA SP;Liza sp
LIZA TRICUSPIDENS;Liza tricuspidens
LOBOTES SURINAMENSIS;Lobotes surinamensis
LOLIGO AFRICANA;Loligo africana
LOLIGO FORBESI;Loligo forbesi
LOLIGO SP.;Loligo sp
LOLIGO SPP.;Loligo sp
LOLIGO VULGARIS;Loligo vulgaris
LOLIGO VULGARIS VULGARIS;Loligo vulgaris
LOPHIIDAE;Lophiidae
LOPHIIDAE DIVERS;Lophiidaes divers
LOPHIODES KEMPI;Lophiodess kempi
LOPHIUS BUDEGASA;Lophiuss budegasa
LOPHIUS BUDEGASSA;Lophiuss budegassa
LOPHIUS KEMPI;Lophiuss kempi
LOPHIUS PISCATORIUS;Lophiuss piscatorius
LOPHIUS SP;Lophiuss sp
LOPHUDES KEMPI;Lophudess kempi
LUCIOBROTULA CORETHROMYCTER;Luciobrotulas corethromycter
LUTJANUS AGENNES;Lutjanus agennes
LUTJANUS DENTATUS;Lutjanus dentatus
LUTJANUS FULGENS;Lutjanuss fulgens
LUTJANUS GOREENSIS;Lutjanuss goreensis
LUTJANUS SP;Lutjanuss sp
LUTJANUS SPP.SAUF L.FULGENS;Lutjanuss fulgens
LYCODONTIS AFER;Lycodontiss afer
M?ÎDUSES;Ms Îduses
MACROURIDAE;Macrouridaes macrouridae
MACROURIDAE SP;Macrouridaes sp
MACROUROPLUS VIOLACEUS;Macrouroplus violaceus
MAJA GOLTZIANA;Maja goltziana
MAJA SP;Maja sp
MAJA SQUINADO;Maja squinado
MALACOCEPHALUS  OCCIDENTALIS;Malacocephalus occidentalis
MALACOCEPHALUS  SP;Malacocephalus sp
MALACOCEPHALUS  SPP;Malacocephalus sp
MALACOCEPHALUS LAEVIS;Malacocephalus laevis
MALACOCEPHALUS OCCIDENTALIS;Malacocephalus occidentalis
MALACOCEPHALUS SP;Malacocephalus sp
MALACOCEPHALUS SP.;Malacocephalus sp
MALACOSTEIDAE;Malacosteidae
MALACOSTEUS NIGER;Malacosteus niger
MALOCOCEPHALUS OCCIDENTALIS;Malococephalus occidentalis
MANTA BIROSTRIS;Manta birostris
MEDUSE;Meduses meduse
MEDUSES;Meduses meduses
MELANOGLOEA VENTRALIS;Melanogloea ventralis
MERLUCCIIDAE DIVERS;Merlucciidae
MERLUCCIUS MERLUCCIUS;Merluccius merluccius
MERLUCCIUS POLLI;Merluccius polli
MERLUCCIUS SENEGALENSIS;Merluccius senegalensis
MERLUCCIUS SP;Merluccius sp
MERLUCCIUS SP (JUVENILES);Merluccius sp
MERLUCCIUS SP.;Merluccius sp
MERLUCCIUS SPP.;Merluccius sp
MERLUCIUS SP ( JUVENILE );Merluccius sp
METAPENAEOPSIS MIERSI;Metapenaeopsis miersi
MICCROCU;Miccrocu miccrocu
MICHROCHIRUS SP;Microchirus sp
MICHROCHURUS VITTTEI;Microchirus wittei
MICROCHIRUS  VARIEGATUS;Microchirus variegatus
MICROCHIRUS BOSCANION;Microchirus boscanion
MICROCHIRUS FRECHKOPI;Microchirus frechkopi
MICROCHIRUS HISPIDUS;Microchirus hispidus
MICROCHIRUS OCELLATUS;Microchirus ocellatus
MICROCHIRUS OSCELLATUS;Microchirus ocellatus
MICROCHIRUS SP;Microchirus sp
MICROCHIRUS SP.;Microchirus sp
MICROCHIRUS SPP.;Microchirus sp
MICROCHIRUS THEOPHILA;Microchirus theophila
MICROCHIRUS VARIEGATUS;Microchirus variegatus
MICROCHIRUS WITTEI;Microchirus wittei
MICROCHIURUS WITTEI;Microchirus wittei
MICROCHURUS SP;Microchirus sp
MICROSPATHODON CHRYSURUS;Microspathodon chrysurus
MIRACORVINA ANGOLENSIS;Miracorvina angolensis
MIXINE;Mixine mixine
MOBULA MOBULAR;Mobula mobular
MOBULA ROCHEBRUNEI;Mobula rochebrunei
MOBULA SP;Mobula sp
MOBULIDAE;Mobula sp
MOLA MOLA;Mola mola
MONOCHIRUS HISPIDUS;Microchirus hispidus
MONOCHIRUS SP;Microhirus sp
MONOCHIRUS SP.;Microhirus sp
MONOLEME MICROSTOMA;Monoleme microstoma
MONOLENE MERTENSI;Monolene mertensi
MONOLENE MICROSTOMA;Monolene microstoma
MONOLENE SP;Monolene sp
MONOLENE SPP.;Monolene sp
MONOMITOPUS METRIOSTOMA;Monomitopus metriostoma
MONOMOTIPUS SP;Monomotipus sp
MOULE;Moule
MUGIL BANANENSIS;Mugil bananensis
MUGIL CAPURRII;Mugil capurrii
MUGIL CEPHALUS;Mugil cephalus
MUGIL CUREMA;Mugil curema
MUGIL SP;Mugil sp
MUGIL SP.;Mugil sp
MUGILIDAE;Mugilidae
MUGILS SP;Mugilidae 
MUNIDA IRIS;Munida iris
MUNIDAE;Munidae munidae
MUNIDAE SP.;Munidae sp
MUPUS SP;Mupus sp
MUPUS SPP.;Mupus sp
MURAENA HELENA;Muraena helena
MURAENA SP;Muraena sp
MURAENA SP.;Muraena sp
MURAENIDAE;Muraenidae
MURAENIDAE DIVERS;Muraenidae divers
MURENES DIVERSES;Murenes diverses
MUREX;Murex murex
MUREX CORNITUS;Murex cornutus
MUREX CORNUTUS;Murex cornutus
MUREX DUPLEX;Murex duplex
MUREX SP;Murex sp
MUREX SP.;Murex sp
MUREX SPP.;Murex sp
MUSTELUS MUSTELUS;Mustelus mustelus
MUTELUS MUTELUS;Mustelus mustelus
MYCTEROPERCA RUBRA;Mycteroperca rubra
MYCTOPHIDAE;Myctophidae
MYLIOBATIDAE;Myliobatidae
MYLIOBATIS AQUILA;Myliobatis aquila
MYRICHTHYS PARDALIS;Myrichthys pardalis
MYSTRIOPHIS ROSTELLATUS;Mystriophis rostellatus
MYSTRIOPHIS SP.;Mystriophis sp
MYSTRIOPHIS SPP;Mystriophis sp
MYTRIOPHIS    ROSTELLATUS;Mytriophis rostellatus
MYXINE;Myxine myxine
MYXINE CAPENSIS;Myxine capensis
NAUCRATES DUCTOR;Naucrates ductor
NEMAPLAEMON LATETUS;Nemaplaemonslatetus
NEMATOCARCINUS AFRICANA;Nematocarcinus africana
NEMATOCARCINUS AFRICANUS;Nematocarcinus africanus
NEMATOPALAEMON HASTATUS;Nematopalaemon hastatus
NEMATOPALEAMON HASTATUS;Nematopaleamon hastatus
NEMICHTHYS SCOLAPACEUS;Nemichthys scolapaceus
NEOHARRIOTTA PINNATA;Neoharriotta pinnata
NEPHROPIDAE;Nephropidae
NEPHROPS ATLANTICUS;Nephrops atlanticus
NEPTUNUS VALIDUS (ENTIER);Neptunus sp
NEPTUNUS VALIDUS (PINCES);Neptunus sp
NETTASTOMA MELANURUM;Nettastoma melanurum
NETTASTOMIDAE;Nettastomidae
NEZUMIA AEQUALIS;Nezumia aequalis
NEZUMIA MICRONICODON;Nezumia micronychodon
NEZUMIA MICRONYCODON;Nezumia micronychodon
NICHOLSINA USTA;Nicholsina usta
NOVODIDIA SP;Novodidia  sp
OBLADA MELANURA;Oblada melanura
OBULA ROCHBRUNEI;Obula rochbrunei
OCTOPUS ACROPUS;Octopus acropus
OCTOPUS DEFILIPPI;Octopus defilippi
OCTOPUS MACROPUS;Octopus macropus
OCTOPUS PROFOND IND?ÎTERMIN?Î;Octopus vulgaris
OCTOPUS SP;Octopus sp
OCTOPUS SP.;Octopus sp
OCTOPUS VULAGRIS;Octopus vulgaris
OCTOPUS VULGARIS;Octopus vulgaris
OCTOPUS VULGARUS;Octopus vulgaris
OCULOSPINIS BREVIS;Oculospinis brevis
OLIGOPUS LONGHURSTI;Oligopus longhursti
OLIGOPUS LONHURSTI;Oligopus lonhursti
OMMASTREPHIDAE;Ommastrephidae
OMMASTREPHIDAE DIVERS;Ommastrephidae divers
ONEIRODIDAE SP.;Oneirodidae sp
OPHICHTHIDAE;Ophichthidae
OPHICHTHIDAES;Ophichthidae
OPHICHTHUS OPHIS;Ophichthus ophis
OPHICHTHUS RUFUS;Ophichthus rufus
OPHICHTHUS SP;Ophichthus sp
OPHICHTHYIDAE;Ophichthyidae
OPHICHTIDAE;Ophichtidae
OPHIDAE;Ophidae
OPHIDIIDAE;Ophidiidae
OPHIDIIDAE DIVERS;Ophidiidae
OPHIDION BARBATUM;Ophidion barbatum
OPHIIDAE;Ophiidae
OPHISURUS SERPENS;Ophisurus serpens
OPHIURES;Ophiures ophiures
OPHYCHTHUS SP;Ophychthus sp
OPHYCHTYIDAE;Ophychtyidae
ORCYNOPSIS UNICOLOR;Orcynopsis unicolor
OURSIN;Arbacia lixula
OURSINS;Arbacia lixula
OURSINS + ARRAIGN?ÎES;Arbacia lixula
OURSINS + AST?ÎRIDES;Arbacia lixula
OURSINS + COQUILLAGES;Arbacia lixula
OURSINS + CRUSTAC?ÎS;Arbacia lixula
OURSINS + DIVERS;Arbacia lixula
OURSINS ET COQUILLES;Arbacia lixula
OURSINS+ HUITRES;Arbacia lixula
OXINOTUS CENTRINA;Oxinotus centrina
OXINOTUS SP;Oxinotus sp
OXYNOTUS CENTRINA;Oxynotus centrina
OXYNOTUS PARADOXUS;Oxynotus paradoxus
OXYNOTUS SP.;Oxynotus sp
PACHYGASTER CUTANEUS;Pachygaster cutaneus
PACHYGASTER SPENGLERI;Pachygaster spengleri
PAGELLUS ACARNE;Pagellus acarne
PAGELLUS BELLOTII;Pagellus bellottii
PAGELLUS BELLOTTI;Pagellus bellottii
PAGELLUS BELLOTTII;Pagellus bellottii
PAGELLUS BELLOTTII (JUVENILES);Pagellus bellottii
PAGELLUS BOGARAVEO;Pagellus bogaraveo
PAGELLUS SP;Pagellus sp
PAGELLUS SPP.;Pagellus sp
PAGRUS AFRICANA;Pagrus africana
PAGRUS AFRICANUS;Pagrus africanus
PAGRUS AURIGA;Pagrus auriga
PAGRUS CAERULEOSTICTUS;Pagrus caeruleostictus
PAGRUS CAERULEOSTICTUS (JUVENILES);Pagrus juveniles
PAGRUS PAGRUS;Pagrus pagrus
PAGRUS PAGRUS AFRICANUS;Pagrus africanus
PAGRUS SPP.;Pagrus sp
PAGURE;Pagure
PAGURES;Pagures 
PAGURES + COQUILLAGES;Pagures coquillages
PALAEMON ELEGANS;Palaemon elegans
PALEAMON ELEGANS;Paleamon elegans
PALEAMON SERRATUS;Paleamon serratus
PALEAMON SERRATUS ELEGANS;Paleamon elegans
PALINURICHTHYS PRINGLEI;Palinurichthys pringlei
PALINURICHTHYS SP;Palinurichthys sp
PALINURICHTHYS SPP.;Palinurichthys sp
PALINURIDES;Palinurides
PALINURIS MAURITANICUS;Palinurus mauritanicus
PALINURIS REGIUS;Palinurus regius
PALINURIS SP;Palinurus sp
PALINURUS ELEPHAS;Palinurus elephas
PALINURUS MAURITANICUS;Palinurus mauritanicus
PALINURUS REGIUS;Palinurus regius
PALIRINUS MAURITANICUS;Palinurus mauritanicus
PANULIRIS REGIUS;Palinurus regius
PANULIRUS MAURITANICUS;Palinurus mauritanicus
PANULIRUS REGIUS;Palinurus regius
PARACENTROPRISTIS HETERURUS;Paracentropristis heterurus
PARACONGER NOTIALIS;Paraconger notialis
PARAGALEUS PECTORALIS;Paragaleus pectoralis
PARAMOLA CUVEIRI;Paramola cuveiri
PARAMOLA CUVIERI;Paramola cuvieri
PARANTHIAS FURCIFER;Paranthias furcifer
PARAPANDALUS NARVAL;Parapandalus narval
PARAPENAEOPSIS ATLANTICA;Parapenaeopsis atlantica
PARAPENAEUS LONGIROSTRIS;Parapenaeus longirostris
PARAPENAEUS LONGIROSTRIS (JUVENILES);Parapenaeus juveniles
PARAPENAOPSIS ATLANTICA;Parapenaopsis atlantica
PARAPENEOPSIS ATLANTICA;Parapeneopsis atlantica
PARAPRISTIPOA OCTOLINEATU;Parapristipoma octolineatum
PARAPRISTIPOMA OCTOLINEATUM;Parapristipoma octolineatum
PARAPRISTIPOMA SP.;Parapristipoma sp
PARAPRISTIPOMA SPP.;Parapristipoma sp
PARASIDUS FRASER-BRUENNERI;Parasud fraser bruneri
PARASIDUS FRASERBRUNNERI;Parasud fraser bruneri
PARASUDIS FRASERBRUNNERI;Parasud fraser bruneri
PARASUDUS FRASERBRUNERI;Parasud fraser bruneri
PAROMOLA CUVIERI;Paromola cuvieri
PASIPHAEA SIVADO;Pasiphaea sivado
PASIPHAEDAE;Pasiphaedae
PASIPHAEIDAE;Pasiphaeidae
PASIPHEA SIVADO;Pasiphea sivado
PECTINIDAE;Pectinidae
PEGUSA CADENATI;Pegusa cadenati
PEGUSA HEXOPHTALMA;Pegusa hexophthalma
PEGUSA HEXOPHTHALA;Pegusa hexophthalma
PEGUSA LASCARIS;Pegusa lascaris
PEGUSA SP;Pegusa sp
PEGUSA SPP.;Pegusa sp
PEGUSA TRIOPHTALMA;Pegusa triophthalma
PEGUSA TRIOPHTHALMA;Pegusa triophthalma
PEGUSA TRIOPHTHALMUS;Pegusa triophthalma
PEGUSA TRIOPHTHALUS;Pegusa triophthalma
PENAEUS DUORARUM;Penaeus duorarum
PENAEUS KERATHURUS;Penaeus kerathurus
PENAEUS MONODON;Penaeus monodon
PENAEUS NOTIALIS;Penaeus notialis
PENAEUS NOTILALIS;Penaeus notialis
PENAEUS SP.;Penaeus sp
PENTANEMUS QUINQUARIUS;Pentanemus quinquarius
PENTHEROSCION BIZI;Pentheroscion mbizi
PENTHEROSCION MBIZI;Pentheroscion mbizi
PENTOROSCION MBIZI;Pentheroscion mbizi
PERISTEDION CATAPHRACTRU;Peristedion cataphractum
PERISTEDION CATAPHRACTRUM;Peristedion cataphractum
PERISTEDION CATAPHRACTU;Peristedion cataphractum
PERISTEDION CATAPHRACTUM;Peristedion cataphractum
PERISTEDION CATAPHRATUM;Peristedion cataphractum
PERULIBATRACHUS  ROSSIGNOLI;Perulibatrachus rossignoli
PERULIBATRACHUS ELIMINENSIS;Perulibatrachus eliminensis
PERULIBATRACHUS ROSSIGNOLI;Perulibatrachus rossignoli
PETANEMUS QUINQUARIUS;Pentanemus quinquarius
PHOTICHTHYDAE;Photichthydae
PHOTICHTHYS ARGENTEUS;Photichthys argenteus
PHOTOSMIA;Photosmia photosmia
PHYCIS PHYCIS;Phycis phycis
PHYSICULUS HULOTI;Physiculus huloti
PINNA SP;Pinna sp
PISODONOPHIS SEICINCTUS;Pisodonophis semicinctus
PISODONOPHIS SEMICINCTICUS;Pisodonophis semicinctus
PISODONOPHIS SEMICINCTUS;Pisodonophis semicinctus
PLATYCEPHALIDAE;Platycephalidae
PLATYCEPHALIDAE DIVERS;Platycephalidae
PLECTORHINCHUS MACROLEPIS;Plectorhynchus macrolepis
PLECTORHINCHUS MEDITERRANEUS;Plectorhynchus mediterraneus
PLECTORHYJCHUS MEDITERRANEUS;Plectorhynchus mediterraneus
PLECTORHYNCHUS MACROLEPIS;Plectorhynchus macrolepis
PLECTORHYNCHUS MEDITERRANEUS;Plectorhynchus mediterraneus
PLECTORHYNCHUS MICROLEPIS;Plectorhynchus microlepis
PLECTORHYNCHUS SP;Plectorhynchus sp
PLESIONICA MARTIA;Plesionika martia
PLESIONIKA  MARTIA;Plesionika martia
PLESIONIKA EDWARDSII;Plesionika edwardsii
PLESIONIKA EDWARSIANUS;Plesionika edwardsii
PLESIONIKA EDWARSII;Plesionika edwardsii
PLESIONIKA EDWARSIONUS;Plesionika edwardsii
PLESIONIKA MARTIA;Plesionika martia
PLESIONIKA SP.;Plesionika sp
PLESIONIKA WILLIAMSI;Plesionika williamsi
PLESIONOKA EDWARSIONUS;Plesionika edwardsii
PLESIOPENAEUS EDWARDSIANUS;Plesiopenaeus edwardsianus
PLESIOPENAEUS EDWARDSIONUS;Plesiopenaeus edwardsianus
POADASYS JUBELINI;Poadasys jubelini
POLYCH?ÍTE;Polychetes
POLYCHAETA;Polychetes
POLYCHETES;Polychetes
POLYCHETES SP.;Polychetes
POLYDACTYLUS QUADRIFILIS;Polydactylus quadrifilis
POLYMETME CORYTHAEOLA;Polymetme corythaeola
POMACANTHUS PARU;Pomacanthus paru
POMACENTRIDAE;Pomacentridae
POMADASYS ANDAMANENSIS;Pomadasys andamanensis
POMADASYS INCISUS;Pomadasys incisus
POMADASYS JUBELINI;Pomadasys jubelini
POMADASYS JUBELINII;Pomadasys jubelini
POMADASYS PEROTAEI;Pomadasys perotaei
POMADASYS PEROTETI;Pomadasys peroteti
POMADASYS ROGERI;Pomadasys rogeri
POMADASYS ROGERII;Pomadasys rogeri
POMADASYS SILLIUM;Pomadasys jubelini
POMADASYS SP;Pomadasys sp
POMADASYS SP.;Pomadasys sp
POMADASYS SPP SAUF P. INCISUS;Pomadasys incisus
POMADSYS INCISUS;Pomadasys incisus
POMATOMUS SALTATOR;Pomatomus saltator
POMATOMUS SALTATRIX;Pomatomus saltatrix
